L8_WL,RSRF
21786.49238,0.000255
21834.06114,0.000984
21881.83807,0.002414
21929.82456,0.005829
21978.02198,0.014537
22026.43172,0.036603
22075.05519,0.09286
22123.8938,0.226412
22172.949,0.471329
22222.22222,0.745606
22271.71492,0.905808
22321.42857,0.972692
22371.36465,0.98278
22421.52466,0.996969
22471.91011,1
22522.52252,0.993137
22573.36343,0.993683
22624.43439,0.986713
22675.73696,0.989052
22727.27273,0.98379
22779.04328,0.977393
22831.05023,0.958204
22883.29519,0.908749
22935.77982,0.765117
22988.50575,0.517821
23041.47465,0.254149
23094.68822,0.085688
23148.14815,0.024767
23201.85615,0.008019
23255.81395,0.003421
23310.02331,0.001628
23364.48598,0.000609
23419.20375,0.000073
18939.39394,0
18975.33207,0.000032
19011.40684,0.000023
19047.61905,0.000057
19083.96947,0.000072
19120.45889,0.000162
19157.08812,0.000321
19193.85797,0.000516
19230.76923,0.000785
19267.82274,0.0011
19305.01931,0.001557
19342.35977,0.002611
19379.84496,0.005328
19417.47573,0.013894
19455.25292,0.048329
19493.17739,0.190738
19531.25,0.534592
19569.47162,0.844893
19607.84314,0.9556
19646.36542,1
19685.03937,0.996498
19723.86588,0.972261
19762.84585,0.963135
19801.9802,0.965685
19841.26984,0.98232
19880.71571,0.981834
19920.31873,0.966772
19960.07984,0.966125
20000,0.964132
20040.08016,0.954754
20080.32129,0.967361
20120.72435,0.980826
20161.29032,0.988729
20202.0202,0.976836
20242.91498,0.967332
20283.97566,0.968801
20325.20325,0.982262
20366.59878,0.989469
20408.16327,0.985615
20449.89775,0.989104
20491.80328,0.978564
20533.8809,0.953352
20576.13169,0.956424
20618.5567,0.96242
20661.15703,0.955545
20703.93375,0.954248
20746.88797,0.931813
20790.02079,0.931726
20833.33333,0.918822
20876.82672,0.910385
20920.50209,0.912538
20964.36059,0.890253
21008.40336,0.868497
21052.63158,0.865864
21097.04641,0.844202
21141.64905,0.828339
21186.44068,0.840828
21231.42251,0.848533
21276.59575,0.861157
21321.96162,0.88768
21367.52137,0.891913
21413.27623,0.886569
21459.22747,0.879688
21505.37634,0.874721
21551.72414,0.881011
21598.27214,0.877453
21645.02165,0.883542
21691.97397,0.889667
21739.13044,0.897977
21786.49238,0.899475
21834.06114,0.90988
21881.83807,0.910928
21929.82456,0.903034
21978.02198,0.894222
22026.43172,0.85751
22075.05519,0.723971
22123.8938,0.493542
22172.949,0.27137
22222.22222,0.130876
22271.71492,0.058606
22321.42857,0.02717
22371.36465,0.013212
22421.52466,0.006869
22471.91011,0.003712
22522.52252,0.00207
22573.36343,0.001197
22624.43439,0.000756
22675.73696,0.000455
22727.27273,0.000349
22779.04328,0.000241
22831.05023,0.000117
22883.29519,0.000061
16393.44262,0
16420.36125,0
16447.36842,0
16474.46458,0
16501.65016,0
16528.92562,0
16556.29139,0
16583.74793,0
16611.29568,0
16638.93511,0
16666.66667,0.000085
16694.49082,0.000394
16722.40803,0.001046
16750.41876,0.002574
16778.52349,0.005944
16806.72269,0.014077
16835.01684,0.035393
16863.40641,0.087833
16891.89189,0.190467
16920.47377,0.345364
16949.15254,0.525304
16977.92869,0.684974
17006.80272,0.809275
17035.77513,0.904478
17064.84642,0.946407
17094.01709,0.974207
17123.28767,0.986657
17152.65866,0.983655
17182.13058,0.968886
17211.70396,0.963811
17241.37931,0.979598
17271.15717,0.982956
17301.03806,0.967838
17331.02253,0.969181
17361.11111,0.968827
17391.30435,0.979973
17421.60279,0.974392
17452.00698,0.975818
17482.51748,0.978208
17513.13485,0.979406
17543.85965,0.967229
17574.69244,0.974522
17605.6338,0.98096
17636.6843,0.983397
17667.84452,0.978607
17699.11504,0.970039
17730.49645,0.958314
17761.98934,0.953399
17793.59431,0.966447
17825.31194,0.977656
17857.14286,0.966534
17889.08766,0.959038
17921.14695,0.947871
17953.32136,0.946245
17985.61151,0.957314
18018.01802,0.965081
18050.54152,0.977765
18083.18264,0.983832
18115.94203,0.982642
18148.82033,0.992264
18181.81818,1
18214.93625,0.990784
18248.17518,0.980884
18281.53565,0.977001
18315.01832,0.977533
18348.62385,0.97827
18382.35294,0.961397
18416.20626,0.952489
18450.1845,0.969873
18484.28836,0.964902
18518.51852,0.961328
18552.8757,0.959215
18587.3606,0.954163
18621.97393,0.954627
18656.71642,0.927396
18691.58879,0.865225
18726.59176,0.741205
18761.72608,0.545856
18796.99248,0.353885
18832.39171,0.21168
18867.92453,0.123444
18903.59168,0.070551
18939.39394,0.041451
18975.33207,0.025513
19011.40684,0.016247
19047.61905,0.010441
19083.96947,0.007024
19120.45889,0.00488
19157.08812,0.003446
19193.85797,0.002515
19230.76923,0.001816
19267.82274,0.001332
19305.01931,0.000935
19342.35977,0.000648
19379.84496,0.000362
19417.47573,0.000247
19455.25292,0.00011
19493.17739,0.000016
19531.25,0
14471.78003,0
14492.75362,0
14513.7881,0
14534.88372,0
14556.04076,0
14577.25948,0
14598.54015,0
14619.88304,0
14641.28843,0
14662.7566,0.000117
14684.28781,0.000554
14705.88235,0.001402
14727.5405,0.003205
14749.26254,0.007333
14771.04874,0.017702
14792.89941,0.046033
14814.81482,0.123946
14836.79525,0.31635
14858.84101,0.609359
14880.95238,0.848855
14903.12966,0.949928
14925.37313,0.966928
14947.68311,0.96718
14970.05988,0.970778
14992.50375,0.962154
15015.01502,0.964002
15037.59399,0.980678
15060.24096,0.992142
15082.95626,0.996804
15105.74018,0.98108
15128.59304,0.97298
15151.51515,0.97696
15174.50683,0.981568
15197.56839,0.984615
15220.70015,0.992388
15243.90244,1
15267.17557,0.981688
15290.51988,0.956628
15313.93568,0.953337
15337.42331,0.955548
15360.9831,0.955641
15384.61539,0.959441
15408.32049,0.973636
15432.09877,0.982911
15455.95054,0.983434
15479.87616,0.983613
15503.87597,0.984173
15527.95031,0.975075
15552.09953,0.962705
15576.32399,0.951831
15600.62403,0.947418
15625,0.950823
15649.45227,0.947949
15673.98119,0.905473
15698.58713,0.764443
15723.27044,0.526812
15748.0315,0.299778
15772.87066,0.148518
15797.78831,0.066861
15822.78481,0.030432
15847.86054,0.014515
15873.01587,0.007197
15898.25119,0.003648
15923.56688,0.00185
15948.96332,0.000895
15974.4409,0.00027
16000,0
11111.11111,0
11123.47052,0
11135.85746,0
11148.27202,0
11160.71429,0.000044
11173.18436,0.000116
11185.68233,0.000241
11198.20829,0.000423
11210.76233,0.000743
11223.34456,0.001192
11235.95506,0.00187
11248.59393,0.002944
11261.26126,0.004702
11273.95716,0.007601
11286.68172,0.01244
11299.43503,0.02072
11312.2172,0.034532
11325.02831,0.058265
11337.86848,0.100343
11350.7378,0.174619
11363.63636,0.288847
11376.56428,0.448364
11389.52164,0.63532
11402.50855,0.788733
11415.52511,0.891066
11428.57143,0.93661
11441.6476,0.969821
11454.75372,0.96646
11467.88991,0.956079
11481.05626,0.950632
11494.25287,0.940094
11507.47986,0.94845
11520.73733,0.951499
11534.02538,0.953162
11547.34411,0.947044
11560.69364,0.951209
11574.07407,0.957357
11587.48552,0.972043
11600.92807,0.975935
11614.40186,0.980733
11627.90698,0.989777
11641.44354,1
11655.01166,0.99612
11668.61144,0.980606
11682.24299,0.973133
11695.90643,0.986833
11709.60187,0.960215
11723.32943,0.890315
11737.0892,0.745037
11750.88132,0.582623
11764.70588,0.403526
11778.56302,0.249733
11792.45283,0.145365
11806.37544,0.084363
11820.33097,0.048191
11834.31953,0.028332
11848.34123,0.017346
11862.3962,0.0109
11876.48456,0.007059
11890.60642,0.004744
11904.76191,0.00316
11918.95113,0.002107
11933.17422,0.001445
11947.4313,0.000986
11961.72249,0.000719
11976.0479,0.000495
11990.40767,0.000314
12004.80192,0.000239
12019.23077,0.0001
12033.69434,0.00005
12048.19277,0.000011
12062.72618,0
5892.751915,0
5896.226415,0.00004
5899.705015,0.000112
5903.187721,0.000206
5906.674542,0.000301
5910.165485,0.000409
5913.660556,0.000517
5917.159763,0.000677
5920.663114,0.000837
5924.170616,0.00104
5927.682276,0.001244
5931.198102,0.001512
5934.718101,0.001781
5938.24228,0.00216
5941.770648,0.002541
5945.30321,0.003055
5948.839976,0.003576
5952.380952,0.004257
5955.926147,0.00494
5959.475566,0.00591
5963.029219,0.006882
5966.587112,0.008227
5970.149254,0.009587
5973.715651,0.011483
5977.286312,0.013394
5980.861244,0.016045
5984.440455,0.018724
5988.023952,0.022504
5991.611744,0.02635
5995.203837,0.031821
5998.80024,0.03731
6002.40096,0.045028
6006.006006,0.052752
6009.615385,0.06379
6013.229104,0.074941
6016.847172,0.090735
6020.469597,0.106664
6024.096386,0.128463
6027.727547,0.15054
6031.363088,0.180823
6035.003018,0.211153
6038.647343,0.251309
6042.296073,0.291752
6045.949214,0.34275
6049.606776,0.39403
6053.268765,0.451966
6056.935191,0.509946
6060.606061,0.573232
6064.281383,0.636542
6067.961165,0.694313
6071.645416,0.751893
6075.334143,0.796545
6079.027356,0.840967
6082.725061,0.879424
6086.427267,0.917239
6090.133983,0.936199
6093.845216,0.95512
6097.560976,0.967125
6101.281269,0.978989
6105.006105,0.986217
6108.735492,0.993439
6112.469438,0.99659
6116.207951,0.999642
6119.95104,0.999848
6123.698714,1
6127.45098,0.998021
6131.207848,0.995869
6134.969325,0.988609
6138.735421,0.981372
6142.506143,0.981285
6146.2815,0.981258
6150.061501,0.9791
6153.846154,0.976906
6157.635468,0.973713
6161.429452,0.970589
6165.228113,0.969314
6169.031462,0.967943
6172.839506,0.964703
6176.652254,0.961486
6180.469716,0.960813
6184.291899,0.960175
6188.118812,0.960857
6191.950464,0.96147
6195.786865,0.959835
6199.628022,0.958335
6203.473945,0.960048
6207.324643,0.961545
6211.180124,0.959047
6215.040398,0.956494
6218.905473,0.953047
6222.775358,0.94967
6226.650062,0.951303
6230.529595,0.952859
6234.413965,0.950194
6238.303182,0.947589
6242.197253,0.947006
6246.09619,0.946432
6250,0.946175
6253.908693,0.945872
6257.822278,0.944351
6261.740764,0.942525
6265.66416,0.934552
6269.592476,0.926605
6273.525721,0.924648
6277.463905,0.922756
6281.407035,0.922061
6285.355123,0.921383
6289.308176,0.922828
6293.266205,0.924259
6297.229219,0.923953
6301.197227,0.923683
6305.17024,0.925059
6309.148265,0.926413
6313.131313,0.92686
6317.119394,0.927163
6321.112516,0.922953
6325.110689,0.918685
6329.113924,0.913009
6333.122229,0.907252
6337.135615,0.899817
6341.15409,0.89183
6345.177665,0.87337
6349.206349,0.854065
6353.240152,0.821155
6357.279085,0.788248
6361.323155,0.75477
6365.372374,0.721282
6369.426752,0.676683
6373.486297,0.631645
6377.55102,0.578787
6381.620932,0.525681
6385.696041,0.47356
6389.776358,0.42147
6393.861893,0.375648
6397.952655,0.329939
6402.048656,0.291359
6406.149904,0.252894
6410.25641,0.220261
6414.368185,0.187803
6418.485237,0.163127
6422.607579,0.138642
6426.735219,0.12015
6430.868167,0.101893
6435.006435,0.089024
6439.150032,0.076166
6443.298969,0.065732
6447.453256,0.055352
6451.612903,0.047864
6455.777921,0.040434
6459.94832,0.035171
6464.124111,0.029952
6468.305304,0.02589
6472.491909,0.021831
6476.683938,0.019029
6480.8814,0.016248
6485.084306,0.014303
6489.292667,0.012372
6493.506494,0.010989
6497.725796,0.009606
6501.950585,0.008459
6506.180872,0.007319
6510.416667,0.006421
6514.65798,0.005528
6518.904824,0.004898
6523.157208,0.004271
6527.415144,0.003772
6531.678641,0.003277
6535.947712,0.002881
6540.222368,0.002488
6544.502618,0.002172
6548.788474,0.001859
6553.079948,0.001613
6557.377049,0.001369
6561.67979,0.00115
6565.988181,0.000932
6570.302234,0.000758
6574.621959,0.000585
6578.947368,0.000466
6583.278473,0.000348
6587.615283,0.000249
6591.957811,0.000151
6596.306069,0.000067
6600.660066,0
